accountno,trans_date,ref_code,ref_no,amount,timestamp,tag,reading,consumption,sequence,custno
"0611202177",01/03/2025,"04","6994384",-699.00,/  /,"W",0,0,184692,2177
"0611202177",01/03/2025,"15","6994384",-13.25,/  /,"F",0,0,184693,2177
"1311200935",01/03/2025,"04","6994385",-1527.00,/  /,"W",0,0,184694,935
"1311200935",01/03/2025,"15","6994385",-31.00,/  /,"F",0,0,184695,935
"0211200082",01/03/2025,"04","6994386",-735.00,/  /,"W",0,0,184696,82
"0211200082",01/03/2025,"15","6994386",-16.25,/  /,"F",0,0,184697,82
"0811200277",01/03/2025,"04","6898809",-921.75,/  /,"W",0,0,184698,277
"0511202278",01/03/2025,"04","6994387",-1111.00,/  /,"W",0,0,184699,2278
"0511202278",01/03/2025,"15","6994387",-35.00,/  /,"F",0,0,184700,2278
"0411201357",01/03/2025,"04","6898810",-111.00,/  /,"W",0,0,184701,1357
"0411201357",01/03/2025,"15","6898810",-3.25,/  /,"F",0,0,184702,1357
"1011200552",01/03/2025,"04","6994388",-513.00,/  /,"W",0,0,184703,552
"1011200552",01/03/2025,"15","6994388",-10.50,/  /,"F",0,0,184704,552
"1411201914",01/03/2025,"04","6994389",-303.00,/  /,"W",0,0,184705,1914
"1411201914",01/03/2025,"15","6994389",-7.00,/  /,"F",0,0,184706,1914
"1011200628",01/03/2025,"04","6994390",-123.00,/  /,"W",0,0,184707,628
"1011200628",01/03/2025,"15","6994390",-3.75,/  /,"F",0,0,184708,628
"0511202268",01/03/2025,"04","6898811",-316.50,/  /,"W",0,0,184709,2268
"0511202268",01/03/2025,"15","6898811",-7.25,/  /,"F",0,0,184710,2268
"1411201869",01/03/2025,"04","6994391",-75.00,/  /,"W",0,0,184711,1869
"1411201869",01/03/2025,"15","6994391",-2.00,/  /,"F",0,0,184712,1869
"0311200175",01/03/2025,"04","6898812",-147.00,/  /,"W",0,0,184713,175
"0311200175",01/03/2025,"15","6898812",-4.00,/  /,"F",0,0,184714,175
"1011200531",01/03/2025,"04","6994392",-435.00,/  /,"W",0,0,184715,531
"1011200531",01/03/2025,"15","6994392",-9.00,/  /,"F",0,0,184716,531
"0511202293",01/03/2025,"04","6994393",-75.00,/  /,"W",0,0,184717,2293
"0511202293",01/03/2025,"15","6994393",-2.00,/  /,"F",0,0,184718,2293
"0211202518",01/03/2025,"04","6994394",-75.00,/  /,"W",0,0,184719,2518
"0211202518",01/03/2025,"15","6994394",-2.00,/  /,"F",0,0,184720,2518
"1011200612",01/03/2025,"04","6898813",-235.50,/  /,"W",0,0,184721,612
"1011200612",01/03/2025,"15","6898813",-5.75,/  /,"F",0,0,184722,612
"1411202006",01/03/2025,"04","6994395",-99.00,/  /,"W",0,0,184723,2006
"1411202006",01/03/2025,"15","6994395",-3.00,/  /,"F",0,0,184724,2006
"0811200396",01/03/2025,"04","6898814",-183.00,/  /,"W",0,0,184725,396
"0811200396",01/03/2025,"15","6898814",-5.00,/  /,"F",0,0,184726,396
"1111201735",01/03/2025,"04","6994396",-111.00,/  /,"W",0,0,184727,1735
"1111201735",01/03/2025,"15","6994396",-3.00,/  /,"F",0,0,184728,1735
"1411201958",01/03/2025,"04","6898815",-75.00,/  /,"W",0,0,184729,1958
"1411201958",01/03/2025,"15","6898815",-1.25,/  /,"F",0,0,184730,1958
"1111201836",01/03/2025,"04","6898816",-75.00,/  /,"W",0,0,184731,1836
"1111201836",01/03/2025,"15","6898816",-2.25,/  /,"F",0,0,184732,1836
"1211201229",01/03/2025,"04","6898817",-702.00,/  /,"W",0,0,184733,1229
"1211201229",01/03/2025,"15","6898817",-15.50,/  /,"F",0,0,184734,1229
"0911201388",01/03/2025,"04","6898818",-246.00,/  /,"W",0,0,184735,1388
"0911201388",01/03/2025,"15","6898818",-7.00,/  /,"F",0,0,184736,1388
"1111201731",01/03/2025,"04","6994397",-75.00,/  /,"W",0,0,184737,1731
"1111201731",01/03/2025,"15","6994397",-2.50,/  /,"F",0,0,184738,1731
"0411201330",01/03/2025,"04","6898819",-147.00,/  /,"W",0,0,184739,1330
"0411201330",01/03/2025,"15","6898819",-4.00,/  /,"F",0,0,184740,1330
"1311200986",01/03/2025,"04","6898820",-375.00,/  /,"W",0,0,184741,986
"1311200986",01/03/2025,"15","6898820",-6.50,/  /,"F",0,0,184742,986
"1311200986",01/03/2025,"57","6898820",100.00,/  /,"A",0,0,184743,986
"1311200986",01/03/2025,"57","6898820",-100.00,/  /,"A",0,0,184744,986
"1411201959",01/03/2025,"04","6898821",-421.50,/  /,"W",0,0,184745,1959
"1411201959",01/03/2025,"15","6898821",-10.50,/  /,"F",0,0,184746,1959
"1111201744",01/03/2025,"04","6994398",-435.00,/  /,"W",0,0,184747,1744
"1111201744",01/03/2025,"15","6994398",-9.00,/  /,"F",0,0,184748,1744
"0711200725",01/03/2025,"04","6898822",-87.00,/  /,"W",0,0,184749,725
"0711200725",01/03/2025,"15","6898822",-2.75,/  /,"F",0,0,184750,725
"1211201215",01/03/2025,"04","6994399",-75.00,/  /,"W",0,0,184751,1215
"1211201215",01/03/2025,"15","6994399",-2.00,/  /,"F",0,0,184752,1215
"0811200313",01/03/2025,"04","6994400",-87.00,/  /,"W",0,0,184753,313
"0811200313",01/03/2025,"15","6994400",-11.50,/  /,"F",0,0,184754,313
"0811200348",01/03/2025,"04","6995701",-135.00,/  /,"W",0,0,184755,348
"0811200348",01/03/2025,"15","6995701",-3.75,/  /,"F",0,0,184756,348
"0111201160",01/03/2025,"04","6995702",-75.00,/  /,"W",0,0,184757,1160
"0111201160",01/03/2025,"15","6995702",-0.50,/  /,"F",0,0,184758,1160
"1111201668",01/03/2025,"04","6995703",-234.00,/  /,"W",0,0,184759,1668
"1111201668",01/03/2025,"15","6995703",-6.75,/  /,"F",0,0,184760,1668
"0911201440",01/03/2025,"04","6995704",-759.00,/  /,"W",0,0,184761,1440
"0911201440",01/03/2025,"15","6995704",-17.75,/  /,"F",0,0,184762,1440
"1111201837",01/03/2025,"04","6995705",-892.50,/  /,"W",0,0,184763,1837
"1111201837",01/03/2025,"15","6995705",-20.50,/  /,"F",0,0,184764,1837
"0711200817",01/03/2025,"04","6995706",-600.00,/  /,"W",0,0,184765,817
"0311200180",01/03/2025,"04","6995707",-628.50,/  /,"W",0,0,184766,180
"0311200180",01/03/2025,"15","6995707",-12.25,/  /,"F",0,0,184767,180
"1013202361",01/03/2025,"04","6898823",-266.50,/  /,"W",0,0,184768,2361
"1013202361",01/03/2025,"15","6898823",-5.25,/  /,"F",0,0,184769,2361
"1211201220",01/03/2025,"04","6995708",-546.00,/  /,"W",0,0,184770,1220
"1211201220",01/03/2025,"15","6995708",-11.00,/  /,"F",0,0,184771,1220
"0811200411",01/03/2025,"04","6995709",-500.00,/  /,"W",0,0,184772,411
"0711200893",01/03/2025,"04","6995710",-1000.00,/  /,"W",0,0,184773,893
"1611202635",01/03/2025,"04","6995711",-208.50,/  /,"W",0,0,184774,2635
"1611202635",01/03/2025,"15","6995711",-5.25,/  /,"F",0,0,184775,2635
"0711200744",01/03/2025,"04","6995712",-595.50,/  /,"W",0,0,184776,744
"0711200744",01/03/2025,"15","6995712",-11.50,/  /,"F",0,0,184777,744
"1211201261",01/03/2025,"04","6995713",-330.00,/  /,"W",0,0,184778,1261
"1211201261",01/03/2025,"15","6995713",-7.50,/  /,"F",0,0,184779,1261
"1311200966",01/03/2025,"04","6995714",-500.00,/  /,"W",0,0,184780,966
"0111201137",01/03/2025,"04","6995715",-351.00,/  /,"W",0,0,184781,1137
"0111201137",01/03/2025,"15","6995715",-6.75,/  /,"F",0,0,184782,1137
"0511202303",01/03/2025,"04","6995716",-717.00,/  /,"W",0,0,184783,2303
"0511202303",01/03/2025,"15","6995716",-17.00,/  /,"F",0,0,184784,2303
